Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
T0104,0.01,0.02,0.8,0.28,10.3,6.8,<0.05,57
T0105,0.01,0.03,0.8,0.41,27,6.9,0.06,46
T0106,0.01,0.04,1.5,0.47,24.6,8.7,0.08,54
T0107,0.01,0.05,1.6,0.3,31,9.4,0.08,47
T0108,0.01,0.05,1.3,0.26,22.6,8.8,0.08,40
T0109,0.01,0.05,0.9,0.21,11.7,5.9,0.06,32
T0110,0.01,0.04,0.6,0.17,18.8,10.3,<0.05,81
T0111,0.01,0.05,1,0.35,34.1,11.3,0.05,75
T0112,0.01,0.05,0.4,0.34,10.3,7.3,0.07,86
T0113,0.01,0.09,4.5,0.76,50.6,8.3,0.07,35
T0114,0.01,0.13,3.7,0.23,32.4,20.5,0.16,66
T0115,0.01,0.05,1.6,0.18,21.5,10.2,0.09,65
T0116,0.01,0.05,1,0.2,10.9,14.7,0.06,85
T0117,0.01,0.06,1.7,0.36,49.8,13.7,0.08,97
T0118,0.01,0.04,1.2,0.15,15.8,11.5,0.07,84
T0119,0.01,0.05,1.2,0.17,22,14.3,0.08,78
T0120,0.01,0.03,1,0.28,19.4,12,0.08,101
T0121,0.01,0.12,0.9,0.08,4.4,12,0.34,160
T0122,0.01,0.11,0.9,0.06,3.4,15.5,0.28,229
T0123,0.01,0.07,1.4,0.09,2.2,14,0.14,121
T0124,0.01,0.03,0.8,0.1,17.5,11.3,0.06,79
T0125,0.01,0.03,0.5,0.09,7.2,10.3,0.05,93
T0126,0.01,0.03,0.6,0.14,10.9,10.7,0.05,53
T0127,0.01,0.04,0.7,0.13,14.1,10.6,0.05,30
T0128,0.01,0.06,0.7,0.19,25.3,10.6,0.05,65
T0129,0.01,0.06,0.8,0.22,17.8,10.5,<0.05,64
T0130,0.01,0.08,0.9,0.18,20.9,11,<0.05,61
T0131,0.03,0.12,1.3,0.29,26.1,11.1,0.05,70
T0132,0.02,0.08,1.1,0.26,33.9,11.1,0.05,64
T0133,0.03,0.14,1.2,0.28,29.6,14.3,0.05,74
T0134,0.03,0.08,0.8,0.23,31.9,10.6,<0.05,84
T0135,0.03,0.07,1.2,0.21,62.4,9.7,0.06,74
T0136,0.02,0.15,1.3,0.19,20.9,12.1,0.09,64
T0137,0.03,0.14,0.8,0.18,11.9,9.4,0.06,54
T0138,0.03,0.12,1.5,0.29,48,11,0.06,63
T0139,0.04,0.19,1.3,0.36,57.6,13.9,0.06,67
T0140,0.04,0.19,1.1,0.34,65.8,13.3,0.06,60
T0141,0.05,0.2,2.6,0.33,73.7,10.8,0.1,66
T0142,0.04,0.23,0.9,0.29,69.8,10.5,<0.05,63
T0143,0.06,0.42,1.1,0.36,66,14.5,<0.05,61
T0144,0.09,0.6,2.8,0.44,77,20,0.07,101
